SEMESTER,DEPARTMENT,NAME,COURSE NUMBER,SECTION,# GRADES,AVE. GPA,A,AB,B,BC,C,D,F,S,U,CR,C,P,I,NW,NR,OTHER
2015-2016 Fall,cs,Introduction to Computation,202,001,89,3.635,62.9,20.2,9.0,3.4,2.2,1.1,1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro to Discrete Mathematics,240,001,78,3.224,30.8,11.5,39.7,9.0,3.8,1.3,1.3,NULL,NULL,NULL,NULL,NULL,1.3,NULL,NULL,1.3
2015-2016 Fall,cs,Intro to Discrete Mathematics,240,002,106,3.071,21.7,9.4,44.3,14.2,7.5,0.9,0.9,NULL,NULL,NULL,NULL,NULL,0.9,NULL,NULL,NULL
2015-2016 Fall,cs,Intro to Discrete Mathematics,240,NULL,184,3.135,25.5,10.3,42.4,12.0,6.0,1.1,1.1,NULL,NULL,NULL,NULL,NULL,1.1,NULL,NULL,0.5
2015-2016 Fall,cs,Intro to Computer Engineering,252,001,45,3.300,44.4,13.3,22.2,6.7,8.9,4.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro to Computer Engineering,252,002,137,3.617,68.6,14.6,8.8,2.2,1.5,1.5,2.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro to Computer Engineering,252,NULL,182,3.538,62.6,14.3,12.1,3.3,3.3,2.2,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro Data Programming,301,001,135,3.326,29.6,25.2,31.9,3.0,3.7,0.7,1.5,3.7,NULL,NULL,NULL,NULL,0.7,NULL,NULL,NULL
2015-2016 Fall,cs,Intro Data Programming,301,002,137,3.357,29.9,34.3,22.6,7.3,2.9,1.5,0.7,NULL,NULL,NULL,NULL,NULL,NULL,0.7,NULL,NULL
2015-2016 Fall,cs,Intro Data Programming,301,NULL,272,3.342,29.8,29.8,27.2,5.1,3.3,1.1,1.1,1.8,NULL,NULL,NULL,NULL,0.4,0.4,NULL,NULL
2015-2016 Fall,cs,Introduction to Programming,302,001,223,2.900,17.0,19.7,30.5,9.9,12.6,6.3,2.2,1.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introduction to Programming,302,002,229,2.937,17.5,19.7,30.1,9.2,14.8,4.4,1.7,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4
2015-2016 Fall,cs,Introduction to Programming,302,003,103,3.114,29.1,18.4,27.2,7.8,10.7,1.9,2.9,NULL,NULL,NULL,NULL,NULL,1.9,NULL,NULL,NULL
2015-2016 Fall,cs,Introduction to Programming,302,004,52,3.069,19.2,25.0,34.6,7.7,3.8,5.8,1.9,NULL,NULL,NULL,NULL,NULL,1.9,NULL,NULL,NULL
2015-2016 Fall,cs,Introduction to Programming,302,006,53,3.132,18.9,26.4,35.8,7.5,7.5,3.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introduction to Programming,302,NULL,660,2.978,19.4,20.5,30.6,8.9,12.0,4.7,2.0,1.4,NULL,NULL,NULL,NULL,0.5,NULL,NULL,0.2
2015-2016 Fall,cs,WES-CS Group Meeting,304,001,6,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,WES-CS Group Meeting,304,002,8,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,WES-CS Group Meeting,304,003,7,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,WES-CS Group Meeting,304,004,9,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,WES-CS Group Meeting,304,005,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,WES-CS Group Meeting,304,006,9,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,WES-CS Group Meeting,304,007,7,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,WES-CS Group Meeting,304,NULL,51,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Prob Solvng Using Computers,310,001,97,3.144,27.8,22.7,21.6,11.3,9.3,2.1,2.1,1.0,1.0,NULL,NULL,NULL,NULL,1.0,NULL,NULL
2015-2016 Fall,cs,Digital System Fundamentals,352,001,62,2.798,9.7,27.4,24.2,12.9,17.7,4.8,3.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Digital System Fundamentals,352,002,61,2.762,8.2,26.2,21.3,24.6,11.5,3.3,4.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Digital System Fundamentals,352,NULL,123,2.780,8.9,26.8,22.8,18.7,14.6,4.1,4.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Machine Organizatn&Progrmng,354,001,93,3.032,23.7,22.6,19.4,18.3,11.8,2.2,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Machine Organizatn&Progrmng,354,002,85,2.958,24.7,18.8,24.7,10.6,9.4,8.2,2.4,1.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Machine Organizatn&Progrmng,354,NULL,178,2.997,24.2,20.8,21.9,14.6,10.7,5.1,2.2,0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro to Data Structures,367,001,208,2.983,25.0,9.1,31.3,13.5,14.4,2.9,1.4,1.4,NULL,NULL,NULL,NULL,1.0,NULL,NULL,NULL
2015-2016 Fall,cs,Intro to Data Structures,367,002,181,2.972,26.5,6.6,29.3,17.7,13.8,3.3,1.1,0.6,0.6,NULL,NULL,NULL,NULL,0.6,NULL,NULL
2015-2016 Fall,cs,Intro to Data Structures,367,003,84,3.399,38.1,27.4,17.9,14.3,1.2,NULL,1.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro to Data Structures,367,NULL,473,3.054,27.9,11.4,28.1,15.2,11.8,2.5,1.3,0.8,0.2,NULL,NULL,NULL,0.4,0.2,NULL,NULL
2015-2016 Fall,cs,Learn a Programming Language,368,001,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.2,13.8,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Learn a Programming Language,368,002,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.1,15.4,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Learn a Programming Language,368,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.6,14.4,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introducing Comp Sci to K-12,402,001,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introducing Comp Sci to K-12,402,002,8,3.938,87.5,12.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introducing Comp Sci to K-12,402,003,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introducing Comp Sci to K-12,402,004,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introducing Comp Sci to K-12,402,005,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introducing Comp Sci to K-12,402,006,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introducing Comp Sci to K-12,402,NULL,29,3.759,69.0,20.7,6.9,NULL,3.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Found of Mobl Systms&Applctns,407,001,60,3.767,65.0,26.7,6.7,NULL,1.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro to Numerical Methods,412,001,35,2.941,31.4,20.0,8.6,14.3,8.6,11.4,2.9,NULL,NULL,NULL,NULL,NULL,NULL,2.9,NULL,NULL
2015-2016 Fall,cs,Intro-Combinatrl Optimizatn,425,001,18,2.722,11.1,16.7,27.8,16.7,16.7,11.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introduction to Cryptography,435,001,38,3.250,31.6,28.9,23.7,10.5,NULL,NULL,5.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro-Combinatorics,475,001,10,3.300,30.0,20.0,30.0,20.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Software Engineering,506,001,52,3.160,26.9,17.3,36.5,1.9,7.7,5.8,NULL,3.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Numerical Analysis,514,001,9,3.278,66.7,NULL,NULL,11.1,11.1,11.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro to Theory of Computing,520,001,41,2.732,17.1,12.2,24.4,22.0,14.6,4.9,4.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Linear Programming Methods,525,001,26,2.865,23.1,11.5,34.6,7.7,11.5,7.7,3.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Advanced Linear Programming,526,001,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Thry&Appl of Pattrn Recgntn,532,001,26,3.217,34.6,19.2,15.4,3.8,11.5,NULL,3.8,7.7,NULL,NULL,NULL,NULL,NULL,3.8,NULL,NULL
2015-2016 Fall,cs,Image Processing,533,001,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Computational Photography,534,001,64,3.344,39.1,31.3,12.5,6.3,6.3,3.1,1.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro-Progm Langs&Compilers,536,001,70,3.371,51.4,12.9,20.0,4.3,5.7,4.3,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
