SEMESTER,DEPARTMENT,NAME,COURSE NUMBER,SECTION,# GRADES,AVE. GPA,A,AB,B,BC,C,D,F,S,U,CR,C,P,I,NW,NR,OTHER
2016-2017 Spring,cs,Intro to Discrete Mathematics,240,001,61,2.795,39.3,3.3,23.0,4.9,8.2,13.1,8.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Spring,cs,Intro to Discrete Mathematics,240,002,89,3.202,52.8,4.5,13.5,9.0,12.4,5.6,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Spring,cs,Intro to Discrete Mathematics,240,NULL,150,3.037,47.3,4.0,17.3,7.3,10.7,8.7,4.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Spring,cs,Intro to Computer Engineering,252,001,12,2.917,25.0,25.0,16.7,8.3,8.3,16.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Spring,cs,Intro to Computer Engineering,252,002,124,3.274,41.9,23.4,13.7,10.5,3.2,4.0,3.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Spring,cs,Intro to Computer Engineering,252,003,69,3.485,42.0,31.9,11.6,5.8,7.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4,NULL,NULL,NULL
2016-2017 Spring,cs,Intro to Computer Engineering,252,NULL,205,3.324,41.0,26.3,13.2,8.8,4.9,3.4,2.0,NULL,NULL,NULL,NULL,NULL,0.5,NULL,NULL,NULL
2016-2017 Spring,cs,Fund of Human-Comp Interaction,270,001,12,3.583,58.3,16.7,8.3,16.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Spring,cs,Directed Study in Comp Sci,298,112,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Spring,cs,Intro Data Programming,301,001,147,3.347,32.0,31.3,21.8,8.2,2.0,0.7,2.0,1.4,NULL,NULL,NULL,NULL,NULL,0.7,NULL,NULL
2016-2017 Spring,cs,Intro Data Programming,301,002,146,3.247,34.2,25.3,16.4,12.3,6.2,2.1,2.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7,0.7
